X.1,X,collar_id,masterID,x_,y_,t_,temp_c,fate,sl_,speed,julian,week,avg.bc,NDVI,total_precipitation
136,X21819.1.136,21819.1,R02M,20.0826823,14.8905702,2017-01-26T21:00:08Z,37,mortality,7.44828839421845e-5,2.06667269539913e-8,26,4,4.5,1381,4.0978193e-8
137,X21819.1.137,21819.1,R02M,20.082747,14.8906071,2017-01-26T22:00:12Z,38,mortality,0.00505911589114089,1.39484860522219e-6,26,4,4.5,1381,4.0978193e-8
138,X21819.1.138,21819.1,R02M,20.0854266,14.8948983,2017-01-26T23:00:39Z,35,mortality,0.00751973615560986,2.10754937096689e-6,26,4,4.5,1333,4.0978193e-8
139,X21819.1.139,21819.1,R02M,20.0925875,14.8971935,2017-01-27T00:00:07Z,31,mortality,0.00686152696198083,1.90545041987804e-6,26,4,4.5,1390,4.0978193e-8
140,X21819.1.140,21819.1,R02M,20.0948902,14.9036571,2017-01-27T01:00:08Z,29,mortality,0.00160800111940392,4.46791086247268e-7,26,4,4.5,1459,4.0978193e-8
141,X21819.1.141,21819.1,R02M,20.0960644,14.9047557,2017-01-27T02:00:07Z,27,mortality,0.00390168925466949,1.0742536494134e-6,26,4,4.5,1466,4.0978193e-8
142,X21819.1.142,21819.1,R02M,20.0999564,14.9050305,2017-01-27T03:00:39Z,26,mortality,0.00831996173608937,2.33117448475466e-6,26,4,4.5,1438,4.0978193e-8
143,X21819.1.143,21819.1,R02M,20.0985769,14.8968257,2017-01-27T04:00:08Z,25,mortality,0.00219251607975833,6.03998920043616e-7,26,4,4.5,1382,4.0978193e-8
144,X21819.1.144,21819.1,R02M,20.0965139,14.8960833,2017-01-27T05:00:38Z,24,mortality,4.67606672333603e-5,1.30908922825757e-8,26,4,4.5,1389,4.0978193e-8
145,X21819.1.145,21819.1,R02M,20.0964679,14.8960749,2017-01-27T06:00:10Z,23,mortality,4.53362989221372e-5,1.25969155104577e-8,27,4,4.5,1389,4.0978193e-8
146,X21819.1.146,21819.1,R02M,20.0965092,14.8960936,2017-01-27T07:00:09Z,22,mortality,1.59831160913086e-5,4.44098807760727e-9,27,4,4.5,1389,4.0978193e-8
147,X21819.1.147,21819.1,R02M,20.0964981,14.8960821,2017-01-27T08:00:08Z,22,mortality,0.00187548221266027,5.16519474706768e-7,27,4,4.5,1389,4.0978193e-8
148,X21819.1.148,21819.1,R02M,20.0960098,14.8978929,2017-01-27T09:00:39Z,21,mortality,0.00304269428303238,8.52534122452334e-7,27,4,4.5,1330,4.0978193e-8
149,X21819.1.149,21819.1,R02M,20.0949855,14.900758,2017-01-27T10:00:08Z,20,mortality,0,0,27,4,4.5,1427,4.0978193e-8
150,X21819.1.150,21819.1,R02M,20.0949855,14.900758,2017-01-27T11:00:10Z,19,mortality,0.00578883190376044,1.60845565539329e-6,27,4,4.5,1427,4.0978193e-8
151,X21819.1.151,21819.1,R02M,20.0907914,14.896768,2017-01-27T12:00:09Z,18,mortality,0.0107969508149301,2.97436661568322e-6,27,4,4.5,1390,4.0978193e-8
152,X21819.1.152,21819.1,R02M,20.0819901,14.8905141,2017-01-27T13:00:39Z,21,mortality,2.31570572396e-4,6.46664541736946e-8,27,4,4.5,1381,4.0978193e-8
